Generation,Branch,Name,Birthdate,Parent
1,Root,Heinrich,1935-04-12,
1,Root,Gertrude,1938-09-23,
2,Müller,Klaus,1960-06-15,Heinrich
2,Müller,Brigitte,1963-11-03,Heinrich
2,Schmidt,Dieter,1958-03-27,Gertrude
3,Müller,Stefan,1985-07-22,Klaus
3,Müller,Anna,1988-02-14,Klaus
3,Müller,Petra,1990-10-05,Brigitte
3,Schmidt,Thomas,1983-12-19,Dieter
3,Schmidt,Maria,1987-05-30,Dieter
4,Müller,Lena,2010-08-11,Stefan
4,Müller,Max,2013-03-02,Stefan
4,Müller,Sophie,2015-11-25,Anna
4,Schmidt,Jonas,2008-06-17,Thomas
4,Schmidt,Emma,2012-09-08,Maria
